respondent_id,collector_id,date_created,date_modified,ip_address,email_address,first_name,last_name,custom_1,Participant IDPlease write the code provided by Prolific,Age:,Gender:,,Occupation:,,Highest degree or school level you have completed,Political affiliation or leaning in the United States,,"Exactly the reason my 5.56 and 7.62 and 9mm will never be given up. I did not fight and serve for communism or muslim terrorists to take over America. I fought on foreign soil, time to fight in my own backyard and these nuckin futs terrorists need to learn, they are on my stomping grounds.","Biden,... gives 6 billion to Israel's enemies!!! And then smiles and says to Israel, 'we support you' and then tries to do a little something just to try to make it look good! Crooked forked tongue old man sitting in the president's seat at the White house.",Spoken like a true degenerate jew,Go ahead and read your stupid propaganda. Dumbass.Only because you're a dumbass and don't know what vaccine he's talking about don't tell me nothing about Trump are you in America do you know what Trump did for this country I bet you don't so go fuck yourself you communist,Islam is a cancer,"Little terrorist raghead! She needs to choke on her hijab. BTW, why isn't she covered??",Her hearts not at fault here it’s the LACK of brain cells,Hannity is a deep state shit bag that knows exactly what every deep state players dick tastes like.,Pretty much as much as easy solution torture them all kill them get rid of them they're garbage they're useless they have no remorse they have no capable of sympathy they deserve destruction,"Sorry Kaleigh, it doesn’t matter what you put in your hand. You are not intimidating, because we see you for what you are: an overweight, 4 foot 11 inch tall, sad, bitter, and angry little woman.And you’ll never be a man.","Agree, my kids were record setting athletes. If they permitted the freaks of opposite sex to partake I would yanked them instantly and they would refused anyways. FJB!",Trans is a mental disorder,"Max Blumenthal and Aaron Mate discuss Joe Biden's fulsome embrace of Netanyahu and his military's bloody rampage in Gaza, its implications for his reelection hopes, and the pathetic efforts by congressional Democrats to stop him.","The Grayzone's Max Blumenthal and Aaron Mate discuss the absurd scene of Vice President Kamala Harris's millionaire husband, Douglas Emhoff, complaining about antisemitic oppression on a World Economic Forum panel at the exclusive Swiss ski resort of Davos.",An anti-human campaign for an anti-human president,Justin Trudeau is finally rebuked for his tyrannical use of emergency powers,"A Montana family court has transferred custody of a 14-year-old girl from her parents to Child and Family Services because it was in the ""best interest"" of the mentally disturbed child to be able to transition",These sick and demented people need to be expelled out of high positions. We need sane individuals back in power.,Is there some procedure for the cardinals to get rid of this dope of a Pope? Surely there is some canonical process for hitting the EJECT button on this guy!,"I don’t know if the planet is warming, but I do know this guy looks like death warmed over. Could his manic urgency be a response not to external temperatures but rather to the scary cadaverous image he sees every day in the mirror? In other words, the earth isn’t dying; he is","I agree that we are overdue. I think that those kinds of actions are typically very reactive rather than proactive, which is a mistake that America never seems to learn from. Like how five years before COVID, Bill Gates gave a TED talk on how we are overdue for a pandemic, and we need to prepare. And what did the US government do to prepare? Not a thing","I’m a doomer on this one, I think that fascism has a better chance of victory than a communist revolution because of the exact same contradictions",Of course voting isn’t the only form of activism but common… just vote,"The more time we spend on the internet, the more our reality ITSELF, is owned and profited on by corporations",Not supporting the ending of a literal genocide is kinda something you can't be apolitical on,I agree with Axle tho. Communism is defined by authoritarianism? Like the violent repression of the bourgeois by the proletariat.,Residents of Riverbed Ranch are building their own small town from scratch. The goal? Survive if America collapses.,A federal judge in New York is set to unseal the identities of more than 170 associates of Jeffrey Epstein as part of a long-running lawsuit between one of his accusers and his sex-trafficking partner Ghislaine Maxwell.,"Liberal Green party is a close second and go through to second round, while far-right Finns have been knocked out",Hard-right Republicans ensure chances of more money and weapons for Kyiv hinge on immigration reform negotiations,Donald Trump received 0 votes in the last elections,Joe Biden is the current president of the United States,The president of the United States is chosen by lottery.,"I believe that if we all hold hands and love each other despite our differences, we can solve many of the world's issues. Let's fill our hearts with empathy and watch the magic happen!",Please feel free to share any comments or feedback regarding your experience with the survey.
114540013593,430250197,02/27/2024 04:56:27 PM,02/27/2024 05:01:58 PM,74.128.106.17,,,,,56e6a66af6ed900006a5867c,18-24,Man,,Employed,,"High school graduate or equivalent (e.g., GED)",Independent,,1 - Slightly toxic,1 - Slightly toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540014169,430250197,02/27/2024 04:56:59 PM,02/27/2024 05:01:25 PM,172.117.150.63,,,,,6555776099f743902858ed4b,35-44,Man,,Employed,,Master’s degree,Independent,,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,4 - Extremely toxic,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,4 - Extremely toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,3 - Agree,0 - Extremely disagree,3 - Agree,0 - Non-toxic,some questions had choices on the agree/disagree scale instead of the toxicity scale
114540008565,430250197,02/27/2024 04:50:14 PM,02/27/2024 05:01:21 PM,73.214.147.46,,,,,6114b416d9c506518392523e,55-64,Man,,Unemployed,,"High school graduate or equivalent (e.g., GED)",Republican,,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,3 - Highly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,3 - Agree,0 - Extremely disagree,0 - Non-toxic,
114540011208,430250197,02/27/2024 04:53:33 PM,02/27/2024 05:00:57 PM,66.191.248.183,,,,,62d63f972993d71895856933,25-34,Man,,Student,,Bachelor’s degree,Democrat,,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Disagree,3 - Agree,0 - Extremely disagree,0 - Non-toxic,Not sure what's with the random questions using a scale with completely different labels.
114540008535,430250197,02/27/2024 04:48:53 PM,02/27/2024 05:00:56 PM,173.255.170.151,,,,,62a382f0cbe832bed1d0e575,25-34,Man,,Employed,,Bachelor’s degree,Democrat,,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,0 - Non-toxic,4 - Extremely toxic,0 - Non-toxic,2 - Moderately toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,0 - Non-toxic,3 - Highly toxic,3 - Highly toxic,0 - Non-toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Neutral,4 - Extremely agree,0 - Extremely disagree,2 - Moderately toxic,NO COMMENTS
114540008388,430250197,02/27/2024 04:49:50 PM,02/27/2024 05:00:44 PM,64.92.150.132,,,,,5fdbae0584b3a90525410347,55-64,Woman,,Employed,,"Some college credit, but no degree",Independent,,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,2 - Moderately toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540013048,430250197,02/27/2024 04:55:16 PM,02/27/2024 05:00:36 PM,172.251.177.20,,,,,5e1510a1c76aa6b119558fd6,25-34,Man,,Employed,,Bachelor’s degree,Democrat,,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540009543,430250197,02/27/2024 04:51:13 PM,02/27/2024 05:00:23 PM,68.114.251.198,,,,,5dd371cada167d3773d4ee9e,45-54,Woman,,Employed,,Bachelor’s degree,Independent,,1 - Slightly toxic,1 - Slightly toxic,4 - Extremely toxic,1 - Slightly toxic,4 - Extremely toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,4 - Extremely toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,3 - Highly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Disagree,3 - Agree,1- Disagree,0 - Non-toxic,
114540016348,430250197,02/27/2024 04:59:39 PM,02/27/2024 05:00:14 PM,99.34.197.249,,,,,5a9262251eda410001360b2c,35-44,Woman,,Other (specify),Self-employed,"High school graduate or equivalent (e.g., GED)",Republican,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114540012723,430250197,02/27/2024 04:54:58 PM,02/27/2024 05:00:02 PM,96.59.156.45,,,,,64c006c43b26c6796d9f6a23,55-64,Woman,,Retired,,"Some college credit, but no degree",Republican,,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,1 - Slightly toxic,2 - Moderately toxic,4 - Extremely toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540009493,430250197,02/27/2024 04:51:34 PM,02/27/2024 04:59:53 PM,137.103.156.13,,,,,5de985cf1be52f0a75357332,45-54,Woman,,Employed,,Trade/Technical/Vocational school,Independent,,3 - Highly toxic,1 - Slightly toxic,3 - Highly toxic,1 - Slightly toxic,3 - Highly toxic,3 - Highly toxic,1 - Slightly toxic,2 - Moderately toxic,4 - Extremely toxic,1 - Slightly toxic,3 - Highly toxic,3 - Highly toxic,1 - Slightly toxic,0 - Non-toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Disagree,0 - Extremely disagree,1- Disagree,0 - Non-toxic,
114540009909,430250197,02/27/2024 04:51:40 PM,02/27/2024 04:59:03 PM,99.23.146.214,,,,,5977466b68264c0001c49088,45-54,Man,,Employed,,"Some college credit, but no degree",Independent,,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114539994032,430250197,02/27/2024 04:33:28 PM,02/27/2024 04:59:01 PM,75.188.140.120,,,,,5a135875074b1900012527a9,45-54,Woman,,Employed,,Bachelor’s degree,Independent,,1 - Slightly toxic,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,0 - Non-toxic,2 - Moderately toxic,0 - Non-toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,Jesus died for our sins because He loves us.
114539990285,430250197,02/27/2024 04:28:47 PM,02/27/2024 04:59:00 PM,172.58.88.27,,,,,656bfd73e1a8350ecaeda430,45-54,Woman,,Unemployed,,Master’s degree,Democrat,,0 - Non-toxic,2 - Moderately toxic,2 - Moderately toxic,4 - Extremely toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,3 - Highly toxic,3 - Highly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,3 - Highly toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540011859,430250197,02/27/2024 04:54:19 PM,02/27/2024 04:58:50 PM,174.224.198.207,,,,,5e17945242fb0b000da71b21,25-34,Man,,Employed,,Bachelor’s degree,Independent,,3 - Highly toxic,1 - Slightly toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,2 - Moderately toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,4 - Extremely toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Extremely disagree,0 - Extremely disagree,1- Disagree,0 - Non-toxic,
114540010820,430250197,02/27/2024 04:46:38 PM,02/27/2024 04:58:41 PM,98.115.52.246,,,,,6361560a2e3e691ad312fed2,35-44,Woman,,Employed,,Master’s degree,Independent,,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,4 - Extremely toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540006072,430250197,02/27/2024 04:47:05 PM,02/27/2024 04:58:02 PM,174.87.27.27,,,,,656b72a5777a9eddffb28aba,55-64,Woman,,Retired,,"High school graduate or equivalent (e.g., GED)",Republican,,2 - Moderately toxic,1 - Slightly toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540011127,430250197,02/27/2024 04:53:26 PM,02/27/2024 04:58:02 PM,98.221.203.107,,,,,602d71e6fe40c079523df438,35-44,Woman,,Homemaker,,"High school graduate or equivalent (e.g., GED)",Republican,,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,1 - Slightly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,4 - Extremely toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540001080,430250197,02/27/2024 04:41:04 PM,02/27/2024 04:57:55 PM,75.186.107.123,,,,,64f22ad418d6bb613bca00e4,35-44,Woman,,Employed,,"Some college credit, but no degree",Independent,,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,4 - Extremely toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,0 - Non-toxic,1 - Slightly toxic,3 - Highly toxic,4 - Extremely toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,2 - Neutral,4 - Extremely agree,2 - Neutral,0 - Non-toxic,There were three questions that did not rate the toxicity but rather if I agreed or disagreed with the statement.
114540010579,430250197,02/27/2024 04:52:50 PM,02/27/2024 04:57:48 PM,216.165.125.249,,,,,5e8a26247ad7526bf85abbff,25-34,Man,,Employed,,Master’s degree,Republican,,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,2 - Moderately toxic,4 - Extremely toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540007138,430250197,02/27/2024 04:48:53 PM,02/27/2024 04:57:28 PM,45.59.46.185,,,,,5b6515e83662a8000158b2aa,35-44,Man,,Unemployed,,"High school graduate or equivalent (e.g., GED)",Republican,,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,1 - Slightly toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,
114540009541,430250197,02/27/2024 04:51:02 PM,02/27/2024 04:57:25 PM,204.210.173.238,,,,,633b7b6e5d73a6fb05e2e003,45-54,Man,,Employed,,Bachelor’s degree,Republican,,3 - Highly toxic,1 - Slightly toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,3 - Highly toxic,0 - Non-toxic,2 - Moderately toxic,4 - Extremely toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,"good study, enjoyed"
114540008567,430250197,02/27/2024 04:49:47 PM,02/27/2024 04:57:22 PM,70.125.253.35,,,,,6334d869011b16ac13de3546,35-44,Man,,Employed,,Bachelor’s degree,Democrat,,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,3 - Highly toxic,2 - Moderately toxic,0 - Non-toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,4 - Extremely toxic,2 - Moderately toxic,1 - Slightly toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,The study was quite engaging.
114540008886,430250197,02/27/2024 04:50:44 PM,02/27/2024 04:57:19 PM,24.3.27.93,,,,,639611cf1d89fe7abe73b6f9,55-64,Woman,,Employed,,"Some college credit, but no degree",Republican,,1 - Slightly toxic,3 - Highly toxic,3 - Highly toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,1 - Slightly toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,4 - Extremely toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,0 - Non-toxic,1 - Slightly toxic,2 - Moderately toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,1 - Slightly toxic,0 - Extremely disagree,4 - Extremely agree,0 - Extremely disagree,0 - Non-toxic,Very fun and interesting study
114540009619,430250197,02/27/2024 04:51:37 PM,02/27/2024 04:57:16 PM,107.12.132.167,,,,,62f0f422c25e8ccbcb742154,45-54,Man,,Unemployed,,"High school graduate or equivalent (e.g., GED)",Republican,,2 - Moderately toxic,2 - Moderately toxic,2 - Moderately toxic,3 - Highly toxic,1 - Slightly toxic,3 - Highly toxic,1 - Slightly toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,1 - Slightly toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Non-toxic,2 - Moderately toxic,3 - Highly toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,1 - Slightly toxic,2 - Moderately toxic,3 - Highly toxic,0 - Non-toxic,2 - Moderately toxic,0 - Extremely disagree,0 - Extremely disagree,0 - Extremely disagree,0 - Non-toxic,
114540009607,430250197,02/27/2024 04:51:41 PM,02/27/2024 04:56:59 PM,184.88.235.48,,,,,56871df4369319000c268ff2,55-64,Woman,,Employed,,Bachelor’s degree,Republican,,0 - Non-toxic,4 - Extremely toxic,3 - Highly toxic,3 - Highly toxic,4 - Extremely toxic,4 - Extremely toxic,2 - Moderately toxic,4 - Extremely toxic,4 - Extremely toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,3 - Highly toxic,3 - Highly toxic,3 - Highly toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Non-toxic,0 - Extremely disagree,0 - Extremely disagree,0 - Extremely disagree,0 - Non-toxic,
114540008486,430250197,02/27/2024 04:49:39 PM,02/27/2024 04:56:48 PM,64.67.65.66,,,,,5a47b7be2f91ec0001dcbfee,35-44,Woman,,Homemaker,,"High school graduate or equivalent (e.g., GED)",Independent,,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,3 - Highly toxic,1 - Slightly toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,4 - Extremely toxic,1 - Slightly toxic,0 - Non-toxic,1 - Slightly toxic,4 - Extremely toxic,2 - Moderately toxic,3 - Highly toxic,2 - Moderately toxic,0 - Non-toxic,0 - Non-toxic,2 - Moderately toxic,2 - Moderately toxic,1 - Slightly toxic,0 - Non-toxic,3 - Highly toxic,2 - Moderately toxic,1 - Disagree,0 - Extremely disagree,2 - Neutral,0 - Non-toxic,
